locality;caterpillar;parasitoid
Yapsiei;Coelorhyncidia nitidalis;CENT023
Yapsiei;Meekiaria purpurea;CENT023
Yapsiei;Meekiaria purpurea;CENT023
Yapsiei;Meekiaria purpurea;CENT023
Yapsiei;Meekiaria purpurea;CENT023
Yapsiei;Coelorhyncidia nitidalis;CENT023
Yapsiei;Coelorhyncidia nitidalis;CENT023
Yapsiei;Meekiaria sp. BOLD:AAA3374;CENT023
Yapsiei;Coelorhyncidia nitidalis;CENT023
Yapsiei;Meekiaria purpurea;CENT023
Yapsiei;Meekiaria purpurea;CENT023
Yapsiei;Meekiaria sp. BOLD:AAA3374;CENT023
Yapsiei;Meekiaria purpurea;CENT023
Yapsiei;Meekiaria purpurea;CENT023
Yapsiei;Meekiaria purpurea;CENT023
Yapsiei;Coelorhyncidia nitidalis;CENT023
Yapsiei;Meekiaria purpurea;CENT023
Yapsiei;Meekiaria purpurea;CENT023
Yapsiei;Meekiaria purpurea;CENT023
Yapsiei;Choreutis lutescens;CENT023
Yapsiei;Coelorhyncidia nitidalis;CENT023
Yapsiei;Meekiaria purpurea;CENT023
Yapsiei;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Mellea sp. AAI1456;CENT023
Yapsiei;Rhodoneura aurata;CENT023
Yapsiei;Coelorhyncidia nitidalis;CENT023
Niksek;Meekiaria purpurea;CENT023
Yapsiei;Asota caricae;CENT023
Yapsiei;Meekiaria sp. BOLD:AAA3374;CENT023
Yapsiei;Meekiaria sp. BOLD:AAA3374;CENT023
Utai;Meekiaria sp. BOLD:AAA3374;CENT023
Utai;Talanga excelsalis;CHAL008
Wamangu;Addaea pusilla;CHAL008
Elem;Addaea pusilla;CHAL008
Elem;Addaea pusilla;CHAL008
Niksek;Choreutis basalis;CHAL008
Niksek;Addaea nr. probolopsis;CHAL008
Yapsiei;Meekiaria sp. BOLD:AAA3374;CHAL008
Utai;Dichomeris n. sp. nr. ochreoviridella;CHAL008
Yapsiei;Paraphomia disjuncta;CHAL015
Yapsiei;Paraphomia disjuncta;CHAL015
Yapsiei;Paraphomia disjuncta;CHAL015
Ohu1;Agriophara sp. AAD4602;CHEL001
Niksek;Adoxophyes tripselia;CHEL001
Ohu1;Agrotera genuflexa;CHEL001
Morox;Agrotera ignepictoides;CHEL001
Elem;Addaea pusilla;CHEL005
Elem;Addaea pusilla;CHEL005
Elem;Addaea pusilla;CHEL005
Niksek;Addaea pusilla;CHEL005
Niksek;Addaea pusilla;CHEL005
Elem;Addaea pusilla;CHEL005
Wamangu;Talanga excelsalis;CHEL005
Wamangu;Addaea pusilla;CHEL005
Wamangu;Mellea rectiviata;CHEL005
Morox;Addaea pusilla;CHEL005
Morox;Addaea pusilla;CHEL005
Wamangu;Addaea pusilla;CHEL005
Wamangu;Addaea pusilla;CHEL005
Wamangu;Addaea pusilla;CHEL005
Wamangu;Addaea pusilla;CHEL005
Wamangu;Addaea pusilla;CHEL005
Morox;Addaea pusilla;CHEL005
Morox;Addaea pusilla;CHEL005
Morox;Mellea hieroglyphica;CHEL005
Morox;Philiris sp. AAF6866;CHEL005
Morox;Dichomeris sp. XXXX068;CHEL005
Morox;Dichomeris sp. XXXX068;CHEL005
Morox;Addaea pusilla;CHEL005
Elem;Addaea pusilla;CHEL005
Niksek;Addaea pusilla;CHEL005
Niksek;Addaea pusilla;CHEL005
Niksek;Addaea pusilla;CHEL005
Yapsiei;Addaea pusilla;CHEL005
Utai;Pharambara splendida;CHEL005
Ohu2;Addaea nr. probolopsis;CHEL005
Ohu2;Dichomeris sp. XXXX068;CHEL005
Wamangu;Mellea nitida;CHEL005
Morox;Dichomeris sp. XXXX068;CHEL005
Elem;Addaea pusilla;CHEL005
Yapsiei;Cirrhochrista xanthographis;CHEL009
Ohu2;Talanga sexpunctalis complex;CHEL009
Ohu2;Talanga sexpunctalis complex;CHEL009
Ohu1;Talanga excelsalis;CHEL009
Utai;Meekiaria sp. AAA3379;CHEL010
Utai;Glyphodes margaritaria;CHEL010
Utai;Meekiaria sp. AAA3379;CHEL010
Niksek;Addaea nr. probolopsis;CHEL025
Morox;Addaea nr. probolopsis;CHEL025
Morox;Addaea nr. probolopsis;CHEL025
Morox;Addaea nr. probolopsis;CHEL025
Morox;Addaea nr. probolopsis;CHEL025
Morox;Addaea nr. probolopsis;CHEL025
Niksek;Addaea nr. probolopsis;CHEL025
Niksek;Addaea nr. probolopsis;CHEL025
Ohu2;Addaea nr. probolopsis;CHEL025
Morox;Addaea nr. probolopsis;CHEL025
Wamangu;Agrotera nr. effertalis;CHEL026
Utai;Glyphodes margaritaria;CHEL033
Wamangu;Talanga excelsalis;CHEL033
Wamangu;Talanga excelsalis;CHEL033
Wamangu;Talanga excelsalis;CHEL033
Wamangu;Talanga excelsalis;CHEL033
Wamangu;Talanga excelsalis;CHEL033
Wamangu;Talanga excelsalis;CHEL033
Wamangu;Talanga excelsalis;CHEL033
Wamangu;Talanga excelsalis;CHEL033
Wamangu;Talanga excelsalis;CHEL033
Wamangu;Talanga excelsalis;CHEL033
Elem;Talanga excelsalis;CHEL033
Elem;Talanga excelsalis;CHEL033
Elem;Talanga deliciosa;CHEL033
Niksek;Talanga sexpunctalis complex;CHEL033
Niksek;Talanga deliciosa;CHEL033
Ohu2;Talanga excelsalis;CHEL033
Ohu2;Talanga excelsalis;CHEL033
Wamangu;Talanga excelsalis;CHEL033
Wamangu;Talanga excelsalis;CHEL033
Wamangu;Talanga excelsalis;CHEL033
Utai;Pharambara splendida;CHEL034
Utai;Mellea ordinaria complex;CHEL034
Utai;Mellea ordinaria complex;CHEL034
Utai;Mellea ordinaria complex;CHEL034
Morox;Agrotera genuflexa;CHOR074
Morox;Agrotera genuflexa;CHOR074
Morox;Agrotera nr. effertalis;CHOR074
Morox;Agrotera nr. effertalis;CHOR074
Morox;Agrotera genuflexa;CHOR074
Morox;Agrotera ignepictoides;CHOR074
Morox;Agrotera nr. effertalis;CHOR074
Morox;Agrotera ignepictoides;CHOR074
Utai;Tamba kebea;CHOR074
Utai;Tamba kebea;CHOR074
Ohu2;Macarostola sp. AAI1170;CHOR074
Wamangu;Agrotera nr. effertalis;CHOR074
Morox;Agrotera genuflexa;CHOR074
Morox;Agrotera genuflexa;CHOR074
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Mellea sp. AAI1456;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Asota caricae;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Niksek;Meekiaria purpurea;CHOR076
Yapsiei;Meekiaria sp. BOLD:AAA3374;CHOR078
Yapsiei;Meekiaria sp. BOLD:AAA3374;CHOR078
Morox;Meekiaria sp. BOLD:AAA3374;CHOR078
Morox;Meekiaria sp. BOLD:AAA3374;CHOR078
Morox;Meekiaria purpurea;CHOR078
Morox;Meekiaria sp. BOLD:AAA3374;CHOR078
Morox;Meekiaria sp. BOLD:AAA3374;CHOR078
Morox;Meekiaria purpurea;CHOR078
Morox;Meekiaria sp. BOLD:AAA3374;CHOR078
Morox;Meekiaria sp. BOLD:AAA3374;CHOR078
Morox;Coelorhyncidia nitidalis;CHOR078
Morox;Coelorhyncidia nitidalis;CHOR078
Morox;Meekiaria nigriscriptalis;CHOR078
Morox;Meekiaria sp. BOLD:AAA3374;CHOR078
Morox;Meekiaria sp. BOLD:AAA3374;CHOR078
Morox;Meekiaria purpurea;CHOR078
Morox;Coelorhyncidia nitidalis;CHOR078
Yapsiei;Meekiaria sp. BOLD:AAA3374;CHOR078
Utai;Meekiaria sp. AAA3379;CHOR078
Morox;Meekiaria purpurea;CHOR078
Morox;Coelorhyncidia nitidalis;CHOR078
Morox;Meekiaria sp. BOLD:AAA3374;CHOR078
Morox;Meekiaria sp. BOLD:AAA3374;CHOR078
Yapsiei;Meekiaria purpurea;CHOR078
Yapsiei;Meekiaria sp. BOLD:AAA3374;CHOR078
Yapsiei;Meekiaria purpurea;CHOR078
Morox;Coelorhyncidia nitidalis;CHOR078
Yapsiei;Choreutis basalis;DOLI006
Ohu2;Choreutis cf. anthorma;DOLI006
Ohu1;Choreutis cf. anthorma;DOLI006
Niksek;Choreutis lutescens;DOLI026
Niksek;Hyposidra talaca;DOLI026
Yapsiei;Talanga excelsalis;DOLI026
Yapsiei;Talanga excelsalis;DOLI026
Utai;Choreutis cf. anthorma;GLYP049
Utai;Glyphodes margaritaria;GLYP049
Utai;Choreutis cf. anthorma;GLYP049
Utai;Brenthia JR22;GLYP049
Utai;Glyphodes margaritaria;GLYP049
Ohu1;Brenthia JR34;HORM001
Ohu1;Brenthia JR34;HORM001
Ohu1;Brenthia JR62;HORM001
Ohu2;Choreutis cf. anthorma;HORM001
Ohu2;Brenthia JR54;HORM001
Ohu2;Brenthia JR37;HORM001
Utai;Dudua n. sp. nr. aprobola;ICHN058
Elem;Ophiorrhabda deceptor;ICHN058
Niksek;Choreutis basalis;ICHN058
Utai;Dudua n. sp. nr. aprobola;ICHN058
Ohu2;Ophiorrhabda deceptor;ICHN058
Niksek;Meekiaria purpurea;ICHN064
Niksek;Meekiaria purpurea;ICHN064
Niksek;Meekiaria purpurea;ICHN064
Niksek;Meekiaria purpurea;ICHN064
Niksek;Meekiaria purpurea;ICHN064
Niksek;Meekiaria purpurea;ICHN064
Niksek;Mellea sp. AAI1456;ICHN064
Niksek;Meekiaria purpurea;ICHN064
Niksek;Mellea sp. AAI1456;ICHN064
Niksek;Meekiaria purpurea;ICHN064
Niksek;Meekiaria purpurea;ICHN064
Niksek;Meekiaria purpurea;ICHN064
Niksek;Meekiaria purpurea;ICHN064
Niksek;Choreutis cf. anthorma;ICHN064
Niksek;Meekiaria purpurea;ICHN064
Niksek;Meekiaria purpurea;ICHN064
Utai;Mellea ordinaria complex;ICHN065
Utai;Mellea ordinaria complex;ICHN065
Utai;Mellea ordinaria complex;ICHN065
Utai;Mellea ordinaria complex;ICHN065
Utai;Mellea ordinaria complex;ICHN065
