locality;caterpillar;parasitoid
Utai;Dichomeris n. sp. nr. ochreoviridella;MICR170
Utai;Dichomeris n. sp. nr. ochreoviridella;MICR170
Utai;Dichomeris n. sp. nr. ochreoviridella;MICR170
Utai;Dichomeris n. sp. nr. ochreoviridella;MICR170
Utai;Dichomeris n. sp. nr. ochreoviridella;MICR170
Utai;Dichomeris n. sp. nr. ochreoviridella;MICR170
Utai;Dichomeris n. sp. nr. ochreoviridella;MICR170
Utai;Dichomeris n. sp. nr. ochreoviridella;MICR170
Utai;Dichomeris sp. XXXX120;MICR170
Utai;Rhodoneura aurata;MICR170
Utai;Dichomeris n. sp. nr. ochreoviridella;MICR170
Utai;Dichomeris n. sp. nr. ochreoviridella;MICR170
Yapsiei;Dichomeris ochreoviridella;MICR170
Yapsiei;Mellea ramifera;MICR170
Yapsiei;Dichomeris ochreoviridella;MICR170
Utai;Brenthia JR22;MICR170
Utai;Dichomeris n. sp. nr. ochreoviridella;MICR170
Utai;Dichomeris n. sp. nr. ochreoviridella;MICR170
Utai;Dichomeris sp. XXXX120;MICR170
Utai;Dichomeris sp. XXXX120;MICR170
Wanang;Mellea sp. 1 nr. ordinaria;MICR170
Elem;Dichomeris n. sp. nr. ochreoviridella;MICR170
Niksek;Dichomeris sp. XXXX120;MICR170
Morox;Dichomeris n. sp. nr. ochreoviridella;MICR170
Elem;Dichomeris n. sp. nr. ochreoviridella;MICR170a
Niksek;Dichomeris n. sp. nr. ochreoviridella;MICR170a
Niksek;Dichomeris sp. XXXX120;MICR170a
Niksek;Dichomeris sp. XXXX120;MICR170a
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;MICR170a
Yapsiei;Meekiaria purpurea;MICR172
Yapsiei;Meekiaria sp. BOLD:AAA3374;MICR172
Utai;Meekiaria sp. BOLD:AAA3374;MICR172
Yapsiei;Meekiaria purpurea;MICR172
Yapsiei;Coelorhyncidia nitidalis;MICR172
Yapsiei;Meekiaria sp. BOLD:AAA3374;MICR172
Utai;Meekiaria sp. BOLD:AAA3374;MICR172
Elem;Brenthia JR62;MICR173
Morox;Mellea nitida;MICR173
Morox;Unadophanes trissomita;MICR173
Utai;Tamba kebea;MICR173
Yapsiei;CopromorphidaeGEN sp. AAG3732;MICR174
Morox;Orthaga nr. percnodes;MICR174
Morox;Agrotera genuflexa;MICR174
Wanang;Choreutis lutescens;MICR174
Elem;Dichomeris n. sp. nr. ochreoviridella;MICR174
Niksek;Talanga sexpunctalis complex;MICR174
Niksek;Talanga sexpunctalis complex;MICR174
Yapsiei;Brenthia JR54;MICR174
Yapsiei;Brenthia JR39;MICR174
Yapsiei;Choreutis basalis;MICR174
Utai;Choreutis cf. anthorma;MICR174
Utai;Talanga excelsalis;MICR174
Wamangu;CopromorphidaeGEN sp. AAG3732;MICR174
Wamangu;Choreutis cf. anthorma;MICR174
Morox;Choreutis lutescens;MICR174
Yapsiei;Brenthia JR39;MICR174
Utai;Glyphodes margaritaria;MICR175
Utai;Glyphodes margaritaria;MICR175
Utai;Glyphodes margaritaria;MICR175
Utai;Choreutis cf. anthorma;MICR175
Utai;Glyphodes margaritaria;MICR175
Utai;Glyphodes margaritaria;MICR175
Utai;Glyphodes margaritaria;MICR175
Utai;Glyphodes margaritaria;MICR175
Utai;Talanga deliciosa;MICR175
Utai;Glyphodes margaritaria;MICR175
Utai;Glyphodes margaritaria;MICR175
Utai;Glyphodes margaritaria;MICR175
Utai;Talanga deliciosa;MICR175
Niksek;Talanga excelsalis;MICR176
Niksek;Talanga excelsalis;MICR176
Niksek;Talanga excelsalis;MICR176
Niksek;Talanga excelsalis;MICR176
Niksek;Talanga excelsalis;MICR176
Niksek;Talanga excelsalis;MICR176
Niksek;Talanga excelsalis;MICR176
Niksek;Talanga excelsalis;MICR176
Niksek;Choreutis cf. anthorma;MICR176
Niksek;Hyposidra incomptaria;MICR176
Niksek;Talanga excelsalis;MICR176
Niksek;Talanga excelsalis;MICR176
Yapsiei;Talanga excelsalis;MICR176
Yapsiei;Talanga excelsalis;MICR176
Yapsiei;Talanga excelsalis;MICR176
Yapsiei;Talanga excelsalis;MICR176
Yapsiei;Talanga excelsalis;MICR176
Yapsiei;Talanga excelsalis;MICR176
Yapsiei;Talanga excelsalis;MICR176
Yapsiei;Talanga excelsalis;MICR176
Utai;Glyphodes margaritaria;MICR176
Utai;Glyphodes margaritaria;MICR176
Wamangu;Choreutis lutescens;MICR176
Niksek;Talanga excelsalis;MICR176
Niksek;Talanga excelsalis;MICR176
Yapsiei;Talanga excelsalis;MICR176
Wamangu;Talanga excelsalis;MICR176
Niksek;Choreutis lutescens;MICR177
Niksek;Choreutis lutescens;MICR177
Niksek;Choreutis lutescens;MICR177
Niksek;Choreutis lutescens;MICR177
Morox;Choreutis lutescens;MICR177
Morox;Choreutis lutescens;MICR177
Morox;Choreutis lutescens;MICR177
Elem;Brenthia JR54;MICR181
Elem;Brenthia JR34;MICR181
Elem;Brenthia JR34;MICR181
Morox;Agrotera ignepictoides;MICR184
Morox;Agrotera ignepictoides;MICR184
Morox;Agrotera genuflexa;MICR184
Morox;Agrotera ignepictoides;MICR184
Morox;Ophyx crinipes;MICR184
Morox;Agrotera genuflexa;MICR184
Utai;Lista carniola;MICR187
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;MICR187
Yapsiei;Macrothyma sanguinolenta;MICR187
Wamangu;Adoxophyes n. sp. nr. orana;MICR187
Wamangu;Unadophanes trissomita;MICR187
Morox;Addaea nr. probolopsis;MICR187
Morox;Mellea nitida;MICR187
Morox;Unadophanes trissomita;MICR187
Ohu1;Meekiaria sp. BOLD:AAA3374;MICR231
Ohu1;Meekiaria sp. BOLD:AAA3374;MICR231
Ohu1;Meekiaria purpurea;MICR231
Ohu1;Meekiaria sp. BOLD:AAA3374;MICR231
Ohu1;Meekiaria sp. AAA3378;MICR231
Ohu1;Coelorhyncidia nitidalis;MICR231
Ohu2;Choreutis JR5;MICR232
Ohu1;Brenthia JR54;MICR232
Ohu2;Brenthia JR34;MICR232
Ohu1;Brenthia sp. AAC1202;MICR232
Utai;Ophiorrhabda deceptor;MICR237
Elem;Adoxophyes tripselia;MICR237
Utai;Dudua n. sp. nr. aprobola;MICR237
Elem;Talanga excelsalis;MICR238
Elem;Brenthia sp. AAC1206;MICR238
Elem;Talanga excelsalis;MICR238
Elem;Talanga excelsalis;MICR238
Elem;Talanga excelsalis;MICR238
Elem;Talanga excelsalis;MICR238
Elem;Choreutis cf. anthorma;MICR238
Elem;Brenthia JR54;MICR238
Elem;Brenthia JR34;MICR238
Elem;Talanga excelsalis;MICR238
Elem;Brenthia sp. AAC1206;MICR238
Elem;Brenthia JR34;MICR238
Elem;Choreutis cf. anthorma;MICR238
Elem;Brenthia sp. AAC1206;MICR238
Elem;Brenthia JR34;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis basalis;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis lutescens;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis basalis;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Talanga excelsalis;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis basalis;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Talanga excelsalis;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis basalis;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis basalis;MICR238
Niksek;Choreutis basalis;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis basalis;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis basalis;MICR238
Niksek;Choreutis basalis;MICR238
Niksek;Choreutis basalis;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis basalis;MICR238
Niksek;Choreutis basalis;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Talanga deliciosa;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Choreutis basalis;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Talanga deliciosa;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Choreutis cf. anthorma;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Wamangu;Choreutis lutescens;MICR238
Wamangu;Talanga excelsalis;MICR238
Wamangu;Talanga excelsalis;MICR238
Wamangu;Glyphodes margaritaria;MICR238
Wamangu;Glyphodes margaritaria;MICR238
Wamangu;Glyphodes margaritaria;MICR238
Morox;Choreutis lutescens;MICR238
Morox;Choreutis lutescens;MICR238
Morox;Talanga excelsalis;MICR238
Morox;Talanga excelsalis;MICR238
Morox;Brenthia JR37;MICR238
Morox;Brenthia JR37;MICR238
Morox;Brenthia JR37;MICR238
Morox;Choreutis lutescens;MICR238
Morox;Choreutis lutescens;MICR238
Morox;Choreutis lutescens;MICR238
Morox;Brenthia JR37;MICR238
Morox;Brenthia JR37;MICR238
Morox;Brenthia JR37;MICR238
Morox;Choreutis lutescens;MICR238
Morox;Brenthia JR37;MICR238
Morox;Brenthia JR37;MICR238
Morox;Brenthia JR37;MICR238
Morox;Brenthia JR37;MICR238
Elem;Choreutis cf. anthorma;MICR238
Utai;Dichomeris n. sp. nr. ochreoviridella;MICR238
Wamangu;Talanga excelsalis;MICR238
Wamangu;Talanga excelsalis;MICR238
Elem;Talanga excelsalis;MICR238
Elem;Talanga excelsalis;MICR238
Elem;Choreutis lutescens;MICR238
Elem;Talanga excelsalis;MICR238
Elem;Brenthia JR54;MICR238
Elem;Brenthia JR34;MICR238
Elem;Brenthia JR34;MICR238
Elem;Brenthia JR34;MICR238
Elem;Brenthia JR34;MICR238
Niksek;Choreutis basalis;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Niksek;Choreutis cf. anthorma;MICR238
Yapsiei;Choreutis cf. anthorma;MICR238
Yapsiei;Choreutis basalis;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Glyphodes margaritaria;MICR238
Utai;Talanga excelsalis;MICR238
Wamangu;Glyphodes margaritaria;MICR238
Wamangu;Talanga deliciosa;MICR238
Morox;Brenthia JR54;MICR238
Morox;Talanga excelsalis;MICR238
Morox;Talanga excelsalis;MICR238
Morox;Talanga excelsalis;MICR238
Morox;Agrotera nr. effertalis;MICR240
Morox;Agrotera nr. effertalis;MICR240
Morox;Agrotera genuflexa;MICR240
Morox;Agrotera nr. effertalis;MICR240
Morox;Dudua n. sp. nr. aprobola;MICR240
Morox;Agrotera genuflexa;MICR240
Morox;Agrotera ignepictoides;MICR240
Morox;Agrotera genuflexa;MICR240
Morox;Dudua n. sp. nr. aprobola;MICR240
Morox;Agrotera ignepictoides;MICR240
Morox;Agrotera nr. effertalis;MICR240
Morox;Ophiorrhabda deceptor;MICR240
Morox;Dudua n. sp. nr. aprobola;MICR240
Morox;Orthaga nr. percnodes;MICR240
Morox;Dudua n. sp. nr. aprobola;MICR240
Morox;Orthaga nr. percnodes;MICR240
Yapsiei;Euploea leucostictos;MICR240
Wamangu;Ophiorrhabda deceptor;MICR240
Morox;Agrotera genuflexa;MICR240
Niksek;Talanga excelsalis;MICR243
Niksek;Choreutis JR5;MICR243
Yapsiei;Choreutis cf. anthorma;MICR243
Utai;Brenthia JR22;MICR243
Morox;Unadophanes trissomita;MICR243
Morox;Addaea pusilla;MICR272
Morox;Mellea nitida;MICR272
Morox;Addaea nr. probolopsis;MICR272
Morox;Mellea nitida;MICR272
Morox;Rhodoneura aurata;MICR272
Morox;Mellea ramifera;MICR272
Morox;Rhodoneura aurata;MICR272
Morox;Mellea nitida;MICR272
Morox;Mellea nitida;MICR272
Morox;Mellea ramifera;MICR272
Niksek;Mellea sp.near rectiviata;MICR272
Morox;Mellea nitida;MICR272
Morox;Mellea ordinaria complex;MICR272
Morox;Dichomeris sp. XXXX068;MICR272
Morox;Mellea hieroglyphica;MICR272
Morox;Rhodoneura aurata;MICR272
Niksek;Choreutis basalis;MICR289
Niksek;Choreutis cf. anthorma;MICR289
Niksek;Choreutis cf. anthorma;MICR289
Niksek;Choreutis basalis;MICR289
Utai;Glyphodes margaritaria;MICR290
Utai;Glyphodes margaritaria;MICR290
Utai;Glyphodes margaritaria;MICR290
Morox;Brenthia JR37;MICR291
Morox;Brenthia JR37;MICR291
Morox;Brenthia JR37;MICR291
Morox;Brenthia JR37;MICR291
Wamangu;Talanga deliciosa;ORGI001
Wamangu;Talanga deliciosa;ORGI001
Wamangu;Talanga deliciosa;ORGI001
Wamangu;Talanga excelsalis;ORGI001
Niksek;Talanga deliciosa;ORGI001
Wamangu;Talanga deliciosa;ORGI001
Wamangu;Talanga deliciosa;ORGI001
Ohu1;Macarostola sp. AAI1170;ORGI003
Ohu1;Macarostola sp. AAI1170;ORGI003
Ohu1;Macarostola sp. AAI1170;ORGI003
Ohu2;Macarostola sp. AAI1170;ORGI003
Ohu2;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu2;Dichomeris sp. XXXX068;ORGI004
Ohu2;Dichomeris sp. XXXX068;ORGI004
Ohu2;Dichomeris sp. XXXX068;ORGI004
Ohu2;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Morox;Dichomeris sp. XXXX068;ORGI004
Morox;Dichomeris sp. XXXX068;ORGI004
Morox;Dichomeris sp. XXXX068;ORGI004
Morox;Dichomeris sp. XXXX068;ORGI004
Morox;Mellea ordinaria complex;ORGI004
Morox;Adoxophyes sp. 3;ORGI004
Morox;Dichomeris sp. XXXX068;ORGI004
Morox;Dichomeris sp. XXXX068;ORGI004
Morox;Dichomeris sp. XXXX068;ORGI004
Morox;Mellea ordinaria complex;ORGI004
Morox;Dichomeris sp. XXXX068;ORGI004
Morox;Dichomeris sp. XXXX068;ORGI004
Morox;Dichomeris sp. XXXX068;ORGI004
Elem;Dichomeris sp. XXXX068;ORGI004
Elem;Dichomeris sp. XXXX068;ORGI004
Niksek;Dichomeris ochreoviridella;ORGI004
Ohu2;Unadophanes trissomita;ORGI004
Ohu2;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Ohu1;Dichomeris sp. XXXX068;ORGI004
Morox;Dichomeris sp. XXXX068;ORGI004
Morox;Mellea ordinaria complex;ORGI004
Morox;Addaea pusilla;ORGI004
Ohu1;Macarostola sp. AAI1170;ORGI017
Ohu1;Macarostola sp. AAI1170;ORGI017
Wamangu;Macarostola sp. AAI1170;ORGI017
Yapsiei;Cirrhochrista xanthographis;ORGI019
Wamangu;CopromorphidaeGEN sp. AAG0483;ORGI019
Wamangu;Piletocera sp. CRAM094;ORGI019
Yapsiei;Meekiaria sp. BOLD:AAA3374;ORGI020
Yapsiei;Meekiaria sp. BOLD:AAA3374;ORGI020
Wanang;Meekiaria sp. BOLD:AAA3374;ORGI020
Elem;Glyphodes margaritaria;ORGI034
Yapsiei;Meekiaria purpurea;ORGI034
Wamangu;Talanga excelsalis;ORGI034
Wamangu;Talanga excelsalis;ORGI034
Wamangu;Talanga excelsalis;ORGI034
Wamangu;Talanga excelsalis;ORGI034
Niksek;Glyphodes margaritaria;ORGI034
Yapsiei;Glyphodes margaritaria;ORGI034
Wamangu;Glyphodes margaritaria;ORGI034
Wamangu;Glyphodes margaritaria;ORGI034
Elem;Philiris helena;ROGA022
Elem;Philiris helena;ROGA022
Elem;Brenthia JR54;ROGA022
Utai;Philiris helena;ROGA022
Wamangu;Philiris helena;ROGA022
Elem;Brenthia JR34;ROGAb01
Elem;Talanga excelsalis;ROGAb01
Elem;Brenthia sp. AAC1206;ROGAb01
Elem;Glyphodes margaritaria;ROGAb01
Utai;Glyphodes margaritaria;ROGAb01
Utai;Talanga deliciosa;ROGAb01
Utai;Glyphodes margaritaria;ROGAb01
Utai;Glyphodes margaritaria;ROGAb01
Utai;Glyphodes margaritaria;ROGAb01
Utai;Glyphodes margaritaria;ROGAb01
Utai;Glyphodes margaritaria;ROGAb01
Utai;Talanga deliciosa;ROGAb01
Utai;Talanga deliciosa;ROGAb01
Utai;Talanga sexpunctalis complex;ROGAb01
Utai;Glyphodes margaritaria;ROGAb01
Utai;Meekiaria sp. AAA3379;ROGAb01
Utai;Meekiaria sp. AAA3379;ROGAb01
Utai;Arctornis nr. intacta 1 SEM-2008;ROGAb01
Wamangu;Talanga sexpunctalis complex;ROGAb01
Morox;Agrotera nr. effertalis;ROGAb01
Niksek;Talanga excelsalis;ROGAb01
Morox;Talanga excelsalis;ROGAb01
Morox;Talanga excelsalis;ROGAb01
Morox;Brenthia JR54;ROGAb01
Yapsiei;Asota plana;ROGAb01
Yapsiei;Asota plana;ROGAb01
Yapsiei;Asota plana;ROGAb01
Yapsiei;Asota plana;ROGAb01
Utai;Talanga deliciosa;ROGAb01
Utai;Glyphodes margaritaria;ROGAb01
Utai;Talanga deliciosa;ROGAb01
Wamangu;Glyphodes margaritaria;ROGAb01
Wanang;Glyphodes margaritaria;ROGAb01
Wamangu;Meekiaria sp. BOLD:AAA3374;ROGAb01
Yapsiei;Meekiaria purpurea;ROGAb01
Yapsiei;Meekiaria sp. BOLD:AAA3374;ROGAb01
Yapsiei;Coelorhyncidia nitidalis;ROGAb01
Morox;Dudua n. sp. nr. aprobola;ROGAb01
Morox;Brenthia JR54;ROGAb01
Wanang;Pleuroptya nr. sabinusalis;ROGAb01
Wanang;Glyphodes margaritaria;ROGAb01
Wanang;Glyphodes margaritaria;ROGAb01
Wanang;Glyphodes margaritaria;ROGAb01
Wanang;Glyphodes margaritaria;ROGAb01
Wanang;Glyphodes margaritaria;ROGAb01
Wanang;Glyphodes margaritaria;ROGAb01
Wanang;Glyphodes margaritaria;ROGAb01
Wanang;Glyphodes margaritaria;ROGAb01
Wanang;Glyphodes margaritaria;ROGAb01
Wanang;Glyphodes margaritaria;ROGAb01
Ohu2;Coelorhyncidia nitidalis;TACH001
Ohu1;Coelorhyncidia nitidalis;TACH001
Ohu2;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu2;Meekiaria sp. AAA3379;TACH001
Ohu2;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu2;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu2;Meekiaria purpurea;TACH001
Ohu2;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu2;Meekiaria purpurea;TACH001
Ohu2;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu2;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu2;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu2;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu2;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu2;Meekiaria purpurea;TACH001
Ohu2;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu2;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Coelorhyncidia nitidalis;TACH001
Ohu1;Coelorhyncidia nitidalis;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria sp. AAA3376;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria purpurea;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria purpurea;TACH001
Ohu1;Coelorhyncidia nitidalis;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria sp. AAA3375;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria sp. AAA3379;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Coelorhyncidia nitidalis;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu2;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu2;Meekiaria purpurea;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH510
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Ohu1;Meekiaria sp. BOLD:AAA3374;TACH001
Niksek;Asota caricae;TACH010
Niksek;Asota caricae;TACH010
Niksek;Asota caricae;TACH010
Niksek;Asota plana;TACH010
Niksek;Asota caricae;TACH010
Niksek;Asota caricae;TACH010
Niksek;Asota caricae;TACH010
Niksek;Asota caricae;TACH010
Niksek;Asota caricae;TACH010
Niksek;Asota caricae;TACH010
Niksek;Asota caricae;TACH010
Wamangu;Talanga excelsalis;TACH506
Wamangu;Asota eusemioides;TACH010
Wamangu;Talanga excelsalis;TACH506
Wamangu;Asota plana;TACH010
Wamangu;Asota plana;TACH010
Wamangu;Asota plana;TACH010
Wamangu;Asota plana;TACH010
Wamangu;Asota plana;TACH010
Wamangu;Asota plana;TACH010
Wamangu;Asota plana;TACH010
Wamangu;Asota caricae;TACH010
Wamangu;Asota plana;TACH010
Wamangu;Asota plana;TACH010
Wamangu;Asota plana;TACH010
Wamangu;Asota plana;TACH010
Wamangu;Asota plana;TACH010
Wamangu;Asota caricae;TACH010
Wamangu;Asota plana;TACH010
Wamangu;Asota plana;TACH010
Morox;Mellea ordinaria complex;TACH010
Niksek;Nycteola n. sp. AAB7439;TACH010
Ohu1;Talanga excelsalis;TACH506
Wamangu;Talanga excelsalis;TACH506
Wamangu;Talanga excelsalis;TACH506
Niksek;Talanga sexpunctalis complex;TACH296
Wamangu;Talanga sexpunctalis complex;TACH296
Niksek;Asota caricae;TACH010
Niksek;Asota caricae;TACH010
Niksek;Asota caricae;TACH010
Niksek;Asota plana;TACH010
Ohu2;Asota caricae;TACH010
Ohu2;Asota caricae;TACH010
Ohu2;Asota caricae;TACH010
Ohu2;Philiris moira;TACH010
Wamangu;Asota caricae;TACH010
Wamangu;Asota plana;TACH010
Wamangu;Asota plana;TACH010
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu2;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
Ohu1;Unadophanes trissomita;TACH014
