locality;caterpillar;plant
Elem;Brenthia JR34;Ficus conocephalifolia
Ohu1;Brenthia sp. AAF6821;Macaranga fallacina
Ohu1;Agrotera ignepictoides;"Syzygium cf. ""stipulare"""
Niksek;Addaea pusilla;Macaranga aleuritoides
Morox;Arctornis nr. intacta 1 SEM-2008;Macaranga aleuritoides
Morox;Addaea nr. probolopsis;Macaranga fallacina
Niksek;Addaea pusilla;Macaranga hispida
Yapsiei;Addaea pusilla;Macaranga clavata
Morox;Addaea nr. probolopsis;Macaranga fallacina
Morox;Addaea nr. probolopsis;Macaranga fallacina
Elem;Dichomeris n. sp. nr. ochreoviridella;Macaranga cf. brachytricha
Wanang;Dichomeris n. sp. nr. ochreoviridella;Macaranga cf. brachytricha
Ohu1;Dichomeris n. sp. nr. ochreoviridella;Macaranga clavata
Morox;Philiris helena;Macaranga cf. brachytricha
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;Macaranga tsonane
Utai;Dichomeris sp. XXXX068;Macaranga aleuritoides
Ohu1;Dichomeris sp. XXXX068;Macaranga cf. brachytricha
Wanang;Mellea ordinaria complex;Macaranga cf. brachytricha
Ohu1;Dichomeris sp. XXXX068;Macaranga cf. brachytricha
Ohu1;Dichomeris sp. XXXX068;Macaranga clavata
Niksek;Choreutis JR2;Ficus pungens
Niksek;Choreutis basalis;Ficus hahliana
Niksek;Choreutis JR5;Ficus pungens
Utai;Choreutis cf. anthorma;Ficus conocephalifolia
Utai;Choreutis cf. anthorma;Ficus conocephalifolia
Ohu2;Choreutis cf. anthorma;Ficus phaeosyce
Ohu1;Choreutis cf. anthorma;Ficus hahliana
Ohu1;Choreutis cf. anthorma;Ficus phaeosyce
Niksek;Choreutis basalis;Ficus hahliana
Utai;Choreutis cf. anthorma;Ficus dammaropsis
Utai;Glyphodes margaritaria;Ficus dammaropsis
Utai;Tamba kebea;"Syzygium cf. ""stipulare"""
Morox;Choreutis lutescens;Ficus copiosa
Wanang;Choreutis cf. anthorma;Ficus phaeosyce
Niksek;Choreutis cf. anthorma;Ficus hahliana
Utai;Choreutis cf. anthorma;Ficus conocephalifolia
Utai;Choreutis cf. anthorma;Ficus conocephalifolia
Ohu2;Choreutis cf. anthorma;Ficus phaeosyce
Ohu2;Choreutis JR5;Ficus pungens
Ohu1;Choreutis JR5;Ficus pungens
Morox;Coelorhyncidia nitidalis;Psychotria micrococca
Morox;Choreutis lutescens;Ficus copiosa
Morox;Choreutis lutescens;Ficus copiosa
