Species	value	skupina	type	
Nausinoe globulipedalis	1	NOPARA	num_localities	
Noctuidae sp.GEOM149	1	NOPARA	num_localities	
Noctuidae sp.NOCT095	1	NOPARA	num_localities	
Noctuidae sp.NOCT100	1	NOPARA	num_localities	
Noctuidae sp.NOCT104	1	NOPARA	num_localities	
Noctuidae sp.NOCT107	1	NOPARA	num_localities	
Noctuidae sp.NOCT117	1	NOPARA	num_localities	
Noctuidae sp.NOCT119	1	NOPARA	num_localities	
Noctuidae sp.NOCT121	1	NOPARA	num_localities	
Noctuidae sp.NOCT122	1	NOPARA	num_localities	
Noctuidae sp.NOCT123	1	NOPARA	num_localities	
Nolidae sp.NOLI002	1	NOPARA	num_localities	
NolidaeGEN sp. AAH3367	1	NOPARA	num_localities	
Notarcha sp. ACE6204	1	NOPARA	num_localities	
Nothomastix klossi	1	NOPARA	num_localities	
nr. Peritornenta	1	NOPARA	num_localities	
Nudaria sp. USNM1	1	NOPARA	num_localities	
Olene sp. AAB5676	1	NOPARA	num_localities	
OlethreutinaeGEN sp. AAG0327	1	NOPARA	num_localities	
Omiodes lasiocnemis	1	NOPARA	num_localities	
Orvasca sp.1	1	NOPARA	num_localities	
Paradromulia nr. but not lignifascia	1	NOPARA	num_localities	
Parapamemene	1	NOPARA	num_localities	
Parilyrgis intacta	1	NOPARA	num_localities	
Perixera sp. AAI2524	1	NOPARA	num_localities	
Perixera sp. AAI2525	1	NOPARA	num_localities	
Pharambara micacealis	1	NOPARA	num_localities	
Phostria lanialis	1	NOPARA	num_localities	
PhycitinaeGEN sp. AAG0392	1	NOPARA	num_localities	
PhycitinaeGEN sp. AAG0396	1	NOPARA	num_localities	
Piletocera sp. CRAM094	1	NOPARA	num_localities	
Polypogon sp. AAI2776	1	NOPARA	num_localities	
Pterophoridae	1	NOPARA	num_localities	
Pycnozancla sp. AAE8365	1	NOPARA	num_localities	
Pyralidae sp.PYRA032	1	NOPARA	num_localities	
Pyralidae sp.PYRA035	1	NOPARA	num_localities	
Rehimena cissophora	1	NOPARA	num_localities	
Saptha cf. exanthista	1	NOPARA	num_localities	
Scopula amala	1	NOPARA	num_localities	
Scopula sp. AAG9552	1	NOPARA	num_localities	
Scythropiodes n sp near perissa	1	NOPARA	num_localities	
Simplicia	1	NOPARA	num_localities	
Simplicia cornicalis	1	NOPARA	num_localities	
Simplicia erebina	1	NOPARA	num_localities	
Somena	1	NOPARA	num_localities	
Sphenarches anisodactylus	1	NOPARA	num_localities	
Spilosoma niceta	1	NOPARA	num_localities	
Sporostigena n. sp. AAJ3512	1	NOPARA	num_localities	
Statherotis discana	1	NOPARA	num_localities	
Stictoptera	1	NOPARA	num_localities	
Striglina asinina	1	NOPARA	num_localities	
Striglina cinnamomea	1	NOPARA	num_localities	
Syllepte nr. iopasalis	1	NOPARA	num_localities	
Syllepte solilucis	1	NOPARA	num_localities	
Syntomaula n sp	1	NOPARA	num_localities	
Tamba	1	NOPARA	num_localities	
Tamba magniplaga	1	NOPARA	num_localities	
Tamba plumipes	1	NOPARA	num_localities	
Targalla subocellata	1	NOPARA	num_localities	
Teia sp. AAB5680	1	NOPARA	num_localities	
Teia sp. AAE9809	1	NOPARA	num_localities	
Teia sp. AAI3599	1	NOPARA	num_localities	
Teia sp. ABX5688	1	NOPARA	num_localities	
Teldenia	1	NOPARA	num_localities	
Tipasa sp. AAI0376	1	NOPARA	num_localities	
Tipasa sp. AAI0377	1	NOPARA	num_localities	
Tortricidae sp.TORT100	1	NOPARA	num_localities	
Tortricidae sp.TORT174	1	NOPARA	num_localities	
Tortricidae sp.TORT175	1	NOPARA	num_localities	
Tortricidae sp.TORT185	1	NOPARA	num_localities	
Tortricidae sp.TORT186	1	NOPARA	num_localities	
Tortricidae sp.TORT205	1	NOPARA	num_localities	
Tortricidae sp.TORT207	1	NOPARA	num_localities	
Tortricidae sp.TORT209	1	NOPARA	num_localities	
Tortricidae sp.XXXX123	1	NOPARA	num_localities	
Trichalis nr. aereoplagiata	1	NOPARA	num_localities	
Trischalis iridescens	1	NOPARA	num_localities	
Uraniidae sp.URAN013	1	NOPARA	num_localities	
