Species	value	skupina	type	
Brenthia sp. AAF6821	3	NOPARA	num_localities	
Brenthia sp. AAL5584	3	NOPARA	num_localities	
Cyclophora sp. AAF7884	3	NOPARA	num_localities	
Darantasia caerulescens	3	NOPARA	num_localities	
Glyphodes doleschalii	3	NOPARA	num_localities	
Gymnasura sp. USNM9	3	NOPARA	num_localities	
Homodes iomolybda	3	NOPARA	num_localities	
Homona spargotis	3	NOPARA	num_localities	
Homona trachyptera	3	NOPARA	num_localities	
Chamaita pr. barnardi	3	NOPARA	num_localities	
Chamaita pr. metamelaena	3	NOPARA	num_localities	
Choreutis JR11	3	NOPARA	num_localities	
Imma monastica	3	NOPARA	num_localities	
Isotenes nr. miserana	3	NOPARA	num_localities	
Lactura sp. AAI2177	3	NOPARA	num_localities	
Lambula sp. USNM5	3	NOPARA	num_localities	
Meekiaria sp. CRAM151	3	NOPARA	num_localities	
Mellea sp. AAI1457	3	NOPARA	num_localities	
Mellea sp. AAI1461	3	NOPARA	num_localities	
NoctuidaeGEN sp. AAG0293	3	NOPARA	num_localities	
OecophoridaeGEN sp. AAH7348	3	NOPARA	num_localities	
Oenospila sp. AAD3332	3	NOPARA	num_localities	
Orvasca sp. ADH2494	3	NOPARA	num_localities	
Paraphomia sp. AAI2622	3	NOPARA	num_localities	
Philiris sp. AAF6866	3	NOPARA	num_localities	
Pleuroptya nr. sabinusalis	3	NOPARA	num_localities	
Pseudocera sp. AAB1481	3	NOPARA	num_localities	
Thosea monoloncha?	3	NOPARA	num_localities	
Zygaenosia sp. USNM1	3	NOPARA	num_localities	
Adoxophyes	3	NOPARA	num_loc_no_para	
Brenthia sp. AAF6821	3	NOPARA	num_loc_no_para	
Brenthia sp. AAL5584	3	NOPARA	num_loc_no_para	
Dichomeris sp. AAI6257	3	NOPARA	num_loc_no_para	
Piratisca minax	3	NOPARA	num_loc_no_para	
Pseudocera sp. AAB1481	3	NOPARA	num_loc_no_para	
Agrotera genuflexa	3	NOPARA	mean_num_localities	
Asota caricae	3	NOPARA	mean_num_localities	
Asota plana	3	NOPARA	mean_num_localities	
Brenthia JR22	3	NOPARA	mean_num_localities	
Brenthia JR34	3	NOPARA	mean_num_localities	
Brenthia JR37	3	NOPARA	mean_num_localities	
Dudua n. sp. nr. aprobola	3	NOPARA	mean_num_localities	
Euploea leucostictos	3	NOPARA	mean_num_localities	
Gauna phaealis	3	NOPARA	mean_num_localities	
Homona aestivana	3	NOPARA	mean_num_localities	
Hyposidra incomptaria	3	NOPARA	mean_num_localities	
Choreutis JR5	3	NOPARA	mean_num_localities	
Meekiaria sp. AAA3376	3	NOPARA	mean_num_localities	
Meekiaria sp. AAA3378	3	NOPARA	mean_num_localities	
Meekiaria sp. AAA3379	3	NOPARA	mean_num_localities	
Meekiaria sp. AAA3380	3	NOPARA	mean_num_localities	
Mellea sp. AAI1456	3	NOPARA	mean_num_localities	
Oenospila sp. AAB6770	3	NOPARA	mean_num_localities	
Ophyx crinipes	3	NOPARA	mean_num_localities	
Orthaga nr. percnodes	3	NOPARA	mean_num_localities	
Paraphomia disjuncta	3	NOPARA	mean_num_localities	
Asota caricae	3	NOPARA	mean_num_no_para_loc	
Brenthia JR22	3	NOPARA	mean_num_no_para_loc	
Cyrestis acilia	3	NOPARA	mean_num_no_para_loc	
Dudua n. sp. nr. aprobola	3	NOPARA	mean_num_no_para_loc	
Paraphomia disjuncta	3	NOPARA	mean_num_no_para_loc	
Macrothyma sanguinolenta	3.1	NOPARA	num_loc_no_para	
Agrotera ignepictoides	3.1	NOPARA	mean_num_no_para_loc	
Asota plana	3.1	NOPARA	mean_num_no_para_loc	
Meekiaria sp. AAA3378	3.1	NOPARA	mean_num_no_para_loc	
Ophyx crinipes	3.2	NOPARA	mean_num_no_para_loc	
Hyposidra talaca	3.3	NOPARA	num_loc_no_para	
Isotenes sp. AAC7575	3.3	NOPARA	num_loc_no_para	
Mecistoptera sophiewagnerae	3.3	NOPARA	num_loc_no_para	
Mellea rectiviata	3.3	NOPARA	num_loc_no_para	
Orthaga nr. percnodes	3.3	NOPARA	mean_num_no_para_loc	
Cleora repetita	3.4	NOPARA	num_loc_no_para	
Pyrophractis isotherma	3.4	NOPARA	num_loc_no_para	
Brenthia JR34	3.4	NOPARA	mean_num_no_para_loc	
Brenthia JR37	3.4	NOPARA	mean_num_no_para_loc	
Choreutis JR09	3.5	NOPARA	num_loc_no_para	
Choreutis tricyanitis	3.5	NOPARA	num_loc_no_para	
Polygiton sp. AAH1014	3.5	NOPARA	num_loc_no_para	
Agrotera genuflexa	3.5	NOPARA	mean_num_no_para_loc	
Meekiaria sp. AAA3379	3.5	NOPARA	mean_num_no_para_loc	
Brenthia sp. AAC1206	3.6	NOPARA	num_loc_no_para	
Chalcidoptera emissalis	3.6	NOPARA	num_loc_no_para	
Choreutis JR2	3.6	NOPARA	num_loc_no_para	
Orthaga melanoperalis	3.6	NOPARA	num_loc_no_para	
Meekiaria sp. AAA3376	3.6	NOPARA	mean_num_no_para_loc	
Brenthia sp. AAI3835	3.7	NOPARA	num_loc_no_para	
Chora huntei	3.7	NOPARA	num_loc_no_para	
Olene sp. nr. mendosa	3.7	NOPARA	num_loc_no_para	
Meekiaria sp. AAA3380	3.7	NOPARA	mean_num_no_para_loc	
Mecistoptera franzwagneri	3.8	NOPARA	num_loc_no_para	
Mellea sp. AAI1456	3.8	NOPARA	mean_num_no_para_loc	
Oenospila sp. AAB6770	3.8	NOPARA	mean_num_no_para_loc	
Albinospila syntyche	3.9	NOPARA	num_loc_no_para	
Catoria delectaria	3.9	NOPARA	num_loc_no_para	
Chrysocraspeda nr. inundata	3.9	NOPARA	num_loc_no_para	
Pseudocera nr. trissosticha	3.9	NOPARA	num_loc_no_para	
Euploea leucostictos	3.9	NOPARA	mean_num_no_para_loc	
Choreutis JR5	3.9	NOPARA	mean_num_no_para_loc	
Adoxophyes	4	NOPARA	num_localities	
Agriophara sp. AAD4602	4	NOPARA	num_localities	
Albinospila syntyche	4	NOPARA	num_localities	
Arctornis nr. intacta 4 SEM-2008	4	NOPARA	num_localities	
Brenthia sp. AAC1206	4	NOPARA	num_localities	
Brenthia sp. AAI3835	4	NOPARA	num_localities	
Dichomeris sp. AAB2697	4	NOPARA	num_localities	
Dichomeris sp. AAI6257	4	NOPARA	num_localities	
Homona auriga	4	NOPARA	num_localities	
Hypomecis infaustaria	4	NOPARA	num_localities	
Hyposidra talaca	4	NOPARA	num_localities	
Chora huntei	4	NOPARA	num_localities	
Choreutis JR06	4	NOPARA	num_localities	
Choreutis JR09	4	NOPARA	num_localities	
Choreutis JR2	4	NOPARA	num_localities	
Choreutis tricyanitis	4	NOPARA	num_localities	
Chrysocraspeda nr. inundata	4	NOPARA	num_localities	
Chrysocraspeda sp. AAB1427	4	NOPARA	num_localities	
Macroglossum inspida papuanum	4	NOPARA	num_localities	
Macrothyma sanguinolenta	4	NOPARA	num_localities	
Mambara sp. AAK7402	4	NOPARA	num_localities	
Mecistoptera n. sp. AAB6947	4	NOPARA	num_localities	
Mecistoptera sophiewagnerae	4	NOPARA	num_localities	
Mellea rectiviata	4	NOPARA	num_localities	
Orthaga melanoperalis	4	NOPARA	num_localities	
Orvasca sp. AAD8421	4	NOPARA	num_localities	
Piratisca minax	4	NOPARA	num_localities	
Polygiton sp. AAH1014	4	NOPARA	num_localities	
Pseudocera nr. trissosticha	4	NOPARA	num_localities	
Pyrophractis isotherma	4	NOPARA	num_localities	
Cirrhochrista xanthographis	4	NOPARA	num_loc_no_para	
Choreutis JR06	4	NOPARA	num_loc_no_para	
Chrysocraspeda sp. AAB1427	4	NOPARA	num_loc_no_para	
Addaea nr. probolopsis	4	NOPARA	mean_num_localities	
Adoxophyes fasciculana	4	NOPARA	mean_num_localities	
Adoxophyes templana complex	4	NOPARA	mean_num_localities	
Albinospila sp. AAB0431	4	NOPARA	mean_num_localities	
Arctornis nr. intacta 3 SEM-2008	4	NOPARA	mean_num_localities	
Asota eusemioides	4	NOPARA	mean_num_localities	
Brenthia JR24	4	NOPARA	mean_num_localities	
Brenthia JR53	4	NOPARA	mean_num_localities	
Brenthia sp. AAC1202	4	NOPARA	mean_num_localities	
Brenthia sp. AAI3833	4	NOPARA	mean_num_localities	
Catoria delectaria	4	NOPARA	mean_num_localities	
Cirrhochrista xanthographis	4	NOPARA	mean_num_localities	
Cleora repetita	4	NOPARA	mean_num_localities	
Holocola n. sp. AAC7734	4	NOPARA	mean_num_localities	
Chalcidoptera emissalis	4	NOPARA	mean_num_localities	
Isotenes sp. AAC7575	4	NOPARA	mean_num_localities	
Jodis sp. AAE5694	4	NOPARA	mean_num_localities	
Macarostola sp. AAI1170	4	NOPARA	mean_num_localities	
Mecistoptera franzwagneri	4	NOPARA	mean_num_localities	
Nycteola nr. pseudoindica	4	NOPARA	mean_num_localities	
Olene sp. nr. mendosa	4	NOPARA	mean_num_localities	
Pingasa chlora	4	NOPARA	mean_num_localities	
Tamba kebea	4	NOPARA	mean_num_localities	
Targalla palliatrix	4	NOPARA	mean_num_localities	
Brenthia sp. AAC1202	4	NOPARA	mean_num_no_para_loc	
Jodis sp. AAE5694	4.1	NOPARA	mean_num_no_para_loc	
Tamba kebea	4.1	NOPARA	mean_num_no_para_loc	
Holocola n. sp. AAC7734	4.1	NOPARA	num_loc_no_para	
Nycteola nr. pseudoindica	4.2	NOPARA	num_loc_no_para	
Pingasa chlora	4.2	NOPARA	num_loc_no_para	
Asota eusemioides	4.2	NOPARA	mean_num_no_para_loc	
Brenthia JR24	4.2	NOPARA	mean_num_no_para_loc	
Gauna phaealis	4.2	NOPARA	mean_num_no_para_loc	
Homona aestivana	4.2	NOPARA	mean_num_no_para_loc	
Albinospila sp. AAB0431	4.3	NOPARA	num_loc_no_para	
Addaea nr. probolopsis	4.3	NOPARA	mean_num_no_para_loc	
Adoxophyes fasciculana	4.4	NOPARA	num_loc_no_para	
Targalla palliatrix	4.4	NOPARA	num_loc_no_para	
Arctornis nr. intacta 3 SEM-2008	4.4	NOPARA	mean_num_no_para_loc	
Brenthia JR53	4.4	NOPARA	mean_num_no_para_loc	
Macarostola sp. AAI1170	4.4	NOPARA	mean_num_no_para_loc	
Adoxophyes templana complex	4.5	NOPARA	num_loc_no_para	
Brenthia sp. AAI3833	4.5	NOPARA	num_loc_no_para	
Hyposidra incomptaria	4,5	NOPARA	num_loc_no_para	
Adoxophyes templana complex	4.5	NOPARA	mean_num_no_para_loc	
Brenthia sp. AAI3833	4.5	NOPARA	mean_num_no_para_loc	
Hyposidra incomptaria	4.5	NOPARA	mean_num_no_para_loc	
Arctornis nr. intacta 3 SEM-2008	4.6	NOPARA	num_loc_no_para	
Brenthia JR53	4.6	NOPARA	num_loc_no_para	
Macarostola sp. AAI1170	4.6	NOPARA	num_loc_no_para	
Adoxophyes fasciculana	4.6	NOPARA	mean_num_no_para_loc	
Targalla palliatrix	4.6	NOPARA	mean_num_no_para_loc	
Addaea nr. probolopsis	4.7	NOPARA	num_loc_no_para	
Albinospila sp. AAB0431	4.7	NOPARA	mean_num_no_para_loc	
Asota eusemioides	4.8	NOPARA	num_loc_no_para	
Brenthia JR24	4.8	NOPARA	num_loc_no_para	
Gauna phaealis	4.8	NOPARA	num_loc_no_para	
Homona aestivana	4.8	NOPARA	num_loc_no_para	
Holocola n. sp. AAC7734	4.8	NOPARA	mean_num_no_para_loc	
Nycteola nr. pseudoindica	4.8	NOPARA	mean_num_no_para_loc	
Pingasa chlora	4.8	NOPARA	mean_num_no_para_loc	
Jodis sp. AAE5694	4.9	NOPARA	num_loc_no_para	
Tamba kebea	4.9	NOPARA	num_loc_no_para	
Addaea nr. probolopsis	5	NOPARA	num_localities	
Adoxophyes fasciculana	5	NOPARA	num_localities	
Adoxophyes templana complex	5	NOPARA	num_localities	
Albinospila sp. AAB0431	5	NOPARA	num_localities	
Arctornis nr. intacta 3 SEM-2008	5	NOPARA	num_localities	
Asota eusemioides	5	NOPARA	num_localities	
Brenthia JR24	5	NOPARA	num_localities	
Brenthia JR53	5	NOPARA	num_localities	
Brenthia sp. AAC1202	5	NOPARA	num_localities	
Brenthia sp. AAI3833	5	NOPARA	num_localities	
Catoria delectaria	5	NOPARA	num_localities	
Cirrhochrista xanthographis	5	NOPARA	num_localities	
Cleora repetita	5	NOPARA	num_localities	
Holocola n. sp. AAC7734	5	NOPARA	num_localities	
Chalcidoptera emissalis	5	NOPARA	num_localities	
Isotenes sp. AAC7575	5	NOPARA	num_localities	
Jodis sp. AAE5694	5	NOPARA	num_localities	
Macarostola sp. AAI1170	5	NOPARA	num_localities	
Mecistoptera franzwagneri	5	NOPARA	num_localities	
Nycteola nr. pseudoindica	5	NOPARA	num_localities	
Olene sp. nr. mendosa	5	NOPARA	num_localities	
Pingasa chlora	5	NOPARA	num_localities	
Tamba kebea	5	NOPARA	num_localities	
Targalla palliatrix	5	NOPARA	num_localities	
Brenthia sp. AAC1202	5	NOPARA	num_loc_no_para	
Adoxophyes	5	NOPARA	mean_num_localities	
Agriophara sp. AAD4602	5	NOPARA	mean_num_localities	
Albinospila syntyche	5	NOPARA	mean_num_localities	
Arctornis nr. intacta 4 SEM-2008	5	NOPARA	mean_num_localities	
Brenthia sp. AAC1206	5	NOPARA	mean_num_localities	
Brenthia sp. AAI3835	5	NOPARA	mean_num_localities	
Dichomeris sp. AAB2697	5	NOPARA	mean_num_localities	
Dichomeris sp. AAI6257	5	NOPARA	mean_num_localities	
Homona auriga	5	NOPARA	mean_num_localities	
Hypomecis infaustaria	5	NOPARA	mean_num_localities	
Hyposidra talaca	5	NOPARA	mean_num_localities	
Chora huntei	5	NOPARA	mean_num_localities	
Choreutis JR06	5	NOPARA	mean_num_localities	
Choreutis JR09	5	NOPARA	mean_num_localities	
Choreutis JR2	5	NOPARA	mean_num_localities	
Choreutis tricyanitis	5	NOPARA	mean_num_localities	
Chrysocraspeda nr. inundata	5	NOPARA	mean_num_localities	
Chrysocraspeda sp. AAB1427	5	NOPARA	mean_num_localities	
Macroglossum inspida papuanum	5	NOPARA	mean_num_localities	
Macrothyma sanguinolenta	5	NOPARA	mean_num_localities	
Mambara sp. AAK7402	5	NOPARA	mean_num_localities	
Mecistoptera n. sp. AAB6947	5	NOPARA	mean_num_localities	
Mecistoptera sophiewagnerae	5	NOPARA	mean_num_localities	
Mellea rectiviata	5	NOPARA	mean_num_localities	
Orthaga melanoperalis	5	NOPARA	mean_num_localities	
Orvasca sp. AAD8421	5	NOPARA	mean_num_localities	
Piratisca minax	5	NOPARA	mean_num_localities	
Polygiton sp. AAH1014	5	NOPARA	mean_num_localities	
Pseudocera nr. trissosticha	5	NOPARA	mean_num_localities	
Pyrophractis isotherma	5	NOPARA	mean_num_localities	
Cirrhochrista xanthographis	5	NOPARA	mean_num_no_para_loc	
Choreutis JR06	5	NOPARA	mean_num_no_para_loc	
Chrysocraspeda sp. AAB1427	5	NOPARA	mean_num_no_para_loc	
Euploea leucostictos	5.1	NOPARA	num_loc_no_para	
Choreutis JR5	5.1	NOPARA	num_loc_no_para	
Albinospila syntyche	5.1	NOPARA	mean_num_no_para_loc	
Catoria delectaria	5.1	NOPARA	mean_num_no_para_loc	
Chrysocraspeda nr. inundata	5.1	NOPARA	mean_num_no_para_loc	
Pseudocera nr. trissosticha	5.1	NOPARA	mean_num_no_para_loc	
Mellea sp. AAI1456	5.2	NOPARA	num_loc_no_para	
Oenospila sp. AAB6770	5.2	NOPARA	num_loc_no_para	
Mecistoptera franzwagneri	5.2	NOPARA	mean_num_no_para_loc	
Meekiaria sp. AAA3380	5.3	NOPARA	num_loc_no_para	
Brenthia sp. AAI3835	5.3	NOPARA	mean_num_no_para_loc	
Chora huntei	5.3	NOPARA	mean_num_no_para_loc	
Olene sp. nr. mendosa	5.3	NOPARA	mean_num_no_para_loc	
Meekiaria sp. AAA3376	5.4	NOPARA	num_loc_no_para	
Brenthia sp. AAC1206	5.4	NOPARA	mean_num_no_para_loc	
Chalcidoptera emissalis	5.4	NOPARA	mean_num_no_para_loc	
Choreutis JR2	5.4	NOPARA	mean_num_no_para_loc	
Orthaga melanoperalis	5.4	NOPARA	mean_num_no_para_loc	
Agrotera genuflexa	5.5	NOPARA	num_loc_no_para	
Meekiaria sp. AAA3379	5.5	NOPARA	num_loc_no_para	
Choreutis JR09	5.5	NOPARA	mean_num_no_para_loc	
Choreutis tricyanitis	5.5	NOPARA	mean_num_no_para_loc	
Polygiton sp. AAH1014	5.5	NOPARA	mean_num_no_para_loc	
Brenthia JR34	5.6	NOPARA	num_loc_no_para	
Brenthia JR37	5.6	NOPARA	num_loc_no_para	
Cleora repetita	5.6	NOPARA	mean_num_no_para_loc	
Pyrophractis isotherma	5.6	NOPARA	mean_num_no_para_loc	
Orthaga nr. percnodes	5.7	NOPARA	num_loc_no_para	
Hyposidra talaca	5.7	NOPARA	mean_num_no_para_loc	
Isotenes sp. AAC7575	5.7	NOPARA	mean_num_no_para_loc	
Mecistoptera sophiewagnerae	5.7	NOPARA	mean_num_no_para_loc	
Mellea rectiviata	5.7	NOPARA	mean_num_no_para_loc	
Ophyx crinipes	5.8	NOPARA	num_loc_no_para	
Agrotera ignepictoides	5.9	NOPARA	num_loc_no_para	
Asota plana	5.9	NOPARA	num_loc_no_para	
Meekiaria sp. AAA3378	5.9	NOPARA	num_loc_no_para	
Macrothyma sanguinolenta	5.9	NOPARA	mean_num_no_para_loc	
Agrotera genuflexa	6	NOPARA	num_localities	
Asota caricae	6	NOPARA	num_localities	
Asota plana	6	NOPARA	num_localities	
Brenthia JR22	6	NOPARA	num_localities	
Brenthia JR34	6	NOPARA	num_localities	
Brenthia JR37	6	NOPARA	num_localities	
Dudua n. sp. nr. aprobola	6	NOPARA	num_localities	
Euploea leucostictos	6	NOPARA	num_localities	
Gauna phaealis	6	NOPARA	num_localities	
Homona aestivana	6	NOPARA	num_localities	
Hyposidra incomptaria	6	NOPARA	num_localities	
Choreutis JR5	6	NOPARA	num_localities	
Meekiaria sp. AAA3376	6	NOPARA	num_localities	
Meekiaria sp. AAA3378	6	NOPARA	num_localities	
Meekiaria sp. AAA3379	6	NOPARA	num_localities	
Meekiaria sp. AAA3380	6	NOPARA	num_localities	
Mellea sp. AAI1456	6	NOPARA	num_localities	
Oenospila sp. AAB6770	6	NOPARA	num_localities	
Ophyx crinipes	6	NOPARA	num_localities	
Orthaga nr. percnodes	6	NOPARA	num_localities	
Paraphomia disjuncta	6	NOPARA	num_localities	
Asota caricae	6	NOPARA	num_loc_no_para	
Brenthia JR22	6	NOPARA	num_loc_no_para	
Cyrestis acilia	6	NOPARA	num_loc_no_para	
Dudua n. sp. nr. aprobola	6	NOPARA	num_loc_no_para	
Paraphomia disjuncta	6	NOPARA	num_loc_no_para	
AcontiinaeGEN sp. AAG0292	6	NOPARA	mean_num_localities	
Addaea syndesma	6	NOPARA	mean_num_localities	
Albinospila sp. AAB0432	6	NOPARA	mean_num_localities	
Albinospila sp. AAH9003	6	NOPARA	mean_num_localities	
Arctornis nr. intacta 2 SEM-2008	6	NOPARA	mean_num_localities	
Arctornis sp. AAE6183	6	NOPARA	mean_num_localities	
Brenthia JR39	6	NOPARA	mean_num_localities	
Brenthia sp. AAF6821	6	NOPARA	mean_num_localities	
Brenthia sp. AAL5584	6	NOPARA	mean_num_localities	
Cyclophora sp. AAF7884	6	NOPARA	mean_num_localities	
Darantasia caerulescens	6	NOPARA	mean_num_localities	
Glyphodes doleschalii	6	NOPARA	mean_num_localities	
Gymnasura sp. USNM9	6	NOPARA	mean_num_localities	
Homodes iomolybda	6	NOPARA	mean_num_localities	
Homona spargotis	6	NOPARA	mean_num_localities	
Homona trachyptera	6	NOPARA	mean_num_localities	
Chamaita pr. barnardi	6	NOPARA	mean_num_localities	
Chamaita pr. metamelaena	6	NOPARA	mean_num_localities	
Choreutis JR11	6	NOPARA	mean_num_localities	
Imma monastica	6	NOPARA	mean_num_localities	
Isotenes nr. miserana	6	NOPARA	mean_num_localities	
Lactura sp. AAI2177	6	NOPARA	mean_num_localities	
Lambula sp. USNM5	6	NOPARA	mean_num_localities	
Meekiaria sp. CRAM151	6	NOPARA	mean_num_localities	
Mellea sp. AAI1457	6	NOPARA	mean_num_localities	
Mellea sp. AAI1461	6	NOPARA	mean_num_localities	
NoctuidaeGEN sp. AAG0293	6	NOPARA	mean_num_localities	
OecophoridaeGEN sp. AAH7348	6	NOPARA	mean_num_localities	
Oenospila sp. AAD3332	6	NOPARA	mean_num_localities	
Orvasca sp. ADH2494	6	NOPARA	mean_num_localities	
Paraphomia sp. AAI2622	6	NOPARA	mean_num_localities	
Philiris sp. AAF6866	6	NOPARA	mean_num_localities	
Pleuroptya nr. sabinusalis	6	NOPARA	mean_num_localities	
Pseudocera sp. AAB1481	6	NOPARA	mean_num_localities	
Thosea monoloncha?	6	NOPARA	mean_num_localities	
Zygaenosia sp. USNM1	6	NOPARA	mean_num_localities	
Adoxophyes	6	NOPARA	mean_num_no_para_loc	
Brenthia sp. AAF6821	6	NOPARA	mean_num_no_para_loc	
Brenthia sp. AAL5584	6	NOPARA	mean_num_no_para_loc	
Dichomeris sp. AAI6257	6	NOPARA	mean_num_no_para_loc	
Piratisca minax	6	NOPARA	mean_num_no_para_loc	
Pseudocera sp. AAB1481	6	NOPARA	mean_num_no_para_loc	
Agriophara sp. AAD4602	6.1	NOPARA	mean_num_no_para_loc	
Mambara sp. AAK7402	6.1	NOPARA	mean_num_no_para_loc	
Mecistoptera n. sp. AAB6947	6.1	NOPARA	mean_num_no_para_loc	
Brenthia JR32	6.2	NOPARA	num_loc_no_para	
Homona mermerodes	6.2	NOPARA	num_loc_no_para	
Arctornis nr. intacta 4 SEM-2008	6.2	NOPARA	mean_num_no_para_loc	
Dichomeris sp. AAB2697	6.2	NOPARA	mean_num_no_para_loc	
Chamaita pr. metamelaena	6.2	NOPARA	mean_num_no_para_loc	
Choreutis JR11	6.2	NOPARA	mean_num_no_para_loc	
Orvasca sp. AAD8421	6.2	NOPARA	mean_num_no_para_loc	
Addaea syndesma	6.3	NOPARA	mean_num_no_para_loc	
Brenthia JR39	6.3	NOPARA	mean_num_no_para_loc	
Homona auriga	6.3	NOPARA	mean_num_no_para_loc	
Macroglossum inspida papuanum	6.3	NOPARA	mean_num_no_para_loc	
Meekiaria sp. CRAM151	6.3	NOPARA	mean_num_no_para_loc	
Paraphomia sp. AAI2622	6.3	NOPARA	mean_num_no_para_loc	
Pyrophractis isotherma	8	PAR	mean_num_no_para_loc	
Xenothictis gnetivora	6.4	NOPARA	num_loc_no_para	
Hypomecis infaustaria	6.4	NOPARA	mean_num_no_para_loc	
Chamaita pr. barnardi	6.4	NOPARA	mean_num_no_para_loc	
Mellea sp. AAI1457	6.4	NOPARA	mean_num_no_para_loc	
Mellea sp. AAI1461	6.4	NOPARA	mean_num_no_para_loc	
Albinospila sp. AAB0432	6.5	NOPARA	mean_num_no_para_loc	
Arctornis nr. intacta 2 SEM-2008	6.5	NOPARA	mean_num_no_para_loc	
Lactura sp. AAI2177	6.5	NOPARA	mean_num_no_para_loc	
Oenospila sp. AAD3332	6.5	NOPARA	mean_num_no_para_loc	
Orvasca sp. ADH2494	6.5	NOPARA	mean_num_no_para_loc	
Philiris sp. AAF6866	6.5	NOPARA	mean_num_no_para_loc	
Brenthia JR62	6.6	NOPARA	num_loc_no_para	
Meekiaria sp. AAA3375	6.6	NOPARA	num_loc_no_para	
Talanga polyzonalis	6.6	NOPARA	num_loc_no_para	
Glyphodes doleschalii	6.6	NOPARA	mean_num_no_para_loc	
Nycteola indicatana	6.7	NOPARA	num_loc_no_para	
Darantasia caerulescens	6.7	NOPARA	mean_num_no_para_loc	
Gymnasura sp. USNM9	6.7	NOPARA	mean_num_no_para_loc	
Mellea hieroglyphica	6.8	NOPARA	num_loc_no_para	
Statherotis discana	8	PAR	mean_num_no_para_loc	
AcontiinaeGEN sp. AAG0292	6.8	NOPARA	mean_num_no_para_loc	
Arctornis sp. AAE6183	6.8	NOPARA	mean_num_no_para_loc	
Homodes iomolybda	6.8	NOPARA	mean_num_no_para_loc	
Imma monastica	6.8	NOPARA	mean_num_no_para_loc	
Isotenes nr. miserana	6.8	NOPARA	mean_num_no_para_loc	
Lambula sp. USNM5	6.8	NOPARA	mean_num_no_para_loc	
Pleuroptya nr. sabinusalis	6.8	NOPARA	mean_num_no_para_loc	
Adoxophyes tripselia	6.9	NOPARA	num_loc_no_para	
Homona trachyptera	6.9	NOPARA	mean_num_no_para_loc	
Adoxophyes tripselia	7	NOPARA	num_localities	
Agrotera ignepictoides	7	NOPARA	num_localities	
Brenthia JR32	7	NOPARA	num_localities	
Brenthia JR62	7	NOPARA	num_localities	
Cyrestis acilia	7	NOPARA	num_localities	
Homona mermerodes	7	NOPARA	num_localities	
Meekiaria sp. AAA3375	7	NOPARA	num_localities	
Mellea hieroglyphica	7	NOPARA	num_localities	
Mellea ramifera	7	NOPARA	num_localities	
Talanga deliciosa	7	NOPARA	num_localities	
Talanga polyzonalis	7	NOPARA	num_localities	
Talanga polyzonalis	8	PAR	mean_num_no_para_loc	
Targalla palliatrix	8	PAR	mean_num_no_para_loc	
Tipasa sp. AAI0377	8	PAR	mean_num_no_para_loc	
Tipasa sp. GEOM158	8	PAR	mean_num_no_para_loc	
Philiris helena	6.4	PAR	num_loc_no_para	
CopromorphidaeGEN sp. AAG3732	7	PAR	num_loc_no_para	
Mellea ramifera	7	NOPARA	num_loc_no_para	
Talanga deliciosa	7	NOPARA	num_loc_no_para	
Agriophara sp. AAD4601	7	NOPARA	mean_num_localities	
Agrotera sp. AAJ7071	7	NOPARA	mean_num_localities	
Arhopala sp. ABZ4430	7	NOPARA	mean_num_localities	
Arna	7	NOPARA	mean_num_localities	
Artaxa sp. AAB8719	7	NOPARA	mean_num_localities	
Brenthia sp. AAI3834	7	NOPARA	mean_num_localities	
Calindoea dorilusalis	7	NOPARA	mean_num_localities	
Cangetta cf. rectilinea	7	NOPARA	mean_num_localities	
CopromorphidaeGEN sp. AAG3732	7	NOPARA	mean_num_localities	
Cotana sp. AAI6038	7	NOPARA	mean_num_localities	
Cryptoblabes sp. AAG0395	7	NOPARA	mean_num_localities	
Dichomeris sp. AAA9076	7	NOPARA	mean_num_localities	
Eucyclodes sp. ACF0440	7	NOPARA	mean_num_localities	
Gnathothlibus heliodes	7	NOPARA	mean_num_localities	
Gymnasura sp. USNM2	7	NOPARA	mean_num_localities	
Helcystogramma sp. AAI2045	7	NOPARA	mean_num_localities	
Hyposidra	7	NOPARA	mean_num_localities	
Chrysocraspeda praegriseata	7	NOPARA	mean_num_localities	
Chrysocraspeda rothschildi?	7	NOPARA	mean_num_localities	
Idiophantis	7	NOPARA	mean_num_localities	
Idiophantis n. sp. AAB7064	7	NOPARA	mean_num_localities	
Idiophantis n. sp. AAZ1655	7	NOPARA	mean_num_localities	
Imma sp. AAD4328	7	NOPARA	mean_num_localities	
Jodis sp. AAO0087	7	NOPARA	mean_num_localities	
Lactura rhodographa	7	NOPARA	mean_num_localities	
Lambula agraphia	7	NOPARA	mean_num_localities	
Loboschiza	7	NOPARA	mean_num_localities	
Lophopepla sp. AAI1091	7	NOPARA	mean_num_localities	
Lymantria novaguineensis	7	NOPARA	mean_num_localities	
Macarostola sp. AAI1171	7	NOPARA	mean_num_localities	
Meekiaria nigriscriptalis	7	NOPARA	mean_num_localities	
Meekiaria sp. AAJ1732	7	NOPARA	mean_num_localities	
Mellea sp.near rectiviata	7	NOPARA	mean_num_localities	
Noctuidae sp.NOCT097	7	NOPARA	mean_num_localities	
Nolidae sp.TORT194	7	NOPARA	mean_num_localities	
NolidaeGEN sp. AAH3366	7	NOPARA	mean_num_localities	
Nudaria sp. USNM2	7	NOPARA	mean_num_localities	
