obs_id	proj_code	locality	CAT_sp	specificity_cat	fifty	remove_cat	singlecat	cat_5	plant	common_plants_only	five	PLANT_sp	obs_date	guild	para_obs_id	para_specimen_no	USNMNM	PAR_sp	plus	GENERAL	rarity	Par_remove	singlepara_1	host_sp	source_obs_id	family_par	specificity_par
161785	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	05.02.2004	CAT											243459		
161786	BETADIV	Yapsiei	Meekiaria sp. AAA3378		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	16.02.2004	CAT											243460		
161787	BETADIV	Yapsiei	Meekiaria sp. AAA3378		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	10.02.2004	CAT											243461		
161788	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	05.02.2004	CAT											243462		
161789	BETADIV	Yapsiei	Meekiaria sp. AAA3378		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	23.02.2004	CAT											243463		
161790	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	04.02.2004	CAT											243464		
161791	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	07.02.2004	CAT											243465		
161792	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	24.02.2004	CAT											243466		
161793	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	26.02.2004	CAT											243467		
161794	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	17.02.2004	CAT											243468		
161795	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	17.02.2004	CAT											243469		
161796	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	24.02.2004	CAT											243470		
161797	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	05.02.2004	CAT											243471		
161798	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	17.02.2004	CAT											243472		
161799	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	04.02.2004	CAT											243473		
161800	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	17.02.2004	CAT											243474		
161801	BETADIV	Yapsiei	Choreutis lutescens		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	23.02.2004	CAT											243475		
161802	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	17.02.2004	CAT											243476		
161803	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	06.02.2004	CAT											243477		
161804	BETADIV	Yapsiei	Meekiaria sp. AAA3378		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	11.02.2004	CAT											243478		
161805	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	11.02.2004	CAT											243479		
161806	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	12.02.2004	CAT											243480		
161807	BETADIV	Yapsiei	Meekiaria sp. AAA3378		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	11.02.2004	CAT											243481		
161808	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	24.02.2004	CAT											243482		
161809	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	17.02.2004	CAT											243483		
161810	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	16.02.2004	CAT											243484		
161811	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	03.02.2004	CAT											243485		
161812	BETADIV	Yapsiei	Choreutis lutescens		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	17.02.2004	CAT											243486		
161813	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	01.03.2004	CAT											243487		
161814	BETADIV	Yapsiei	Choreutis lutescens		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	16.02.2004	CAT											243488		
161815	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	06.02.2004	CAT											243489		
161816	BETADIV	Yapsiei	Choreutis lutescens		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	19.02.2004	CAT											243490		
161817	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	07.02.2004	CAT											243491		
161818	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	07.02.2004	CAT											243492		
161819	BETADIV	Yapsiei	Talanga sexpunctalis complex		1	0	0	1	COP	Yes	0	Ficus copiosa	24.02.2004	CAT											243493		
161820	BETADIV	Yapsiei	Talanga sexpunctalis complex		1	0	0	1	COP	Yes	0	Ficus copiosa	20.02.2004	CAT											243494		
161821	BETADIV	Yapsiei	Talanga sexpunctalis complex		1	0	0	1	COP	Yes	0	Ficus copiosa	20.02.2004	CAT											243495		
161822	BETADIV	Yapsiei	Talanga sexpunctalis complex		1	0	0	1	COP	Yes	0	Ficus copiosa	25.02.2004	CAT											243496		
161823	BETADIV	Yapsiei	Talanga sexpunctalis complex		1	0	0	1	COP	Yes	0	Ficus copiosa	25.02.2004	CAT											243497		
161824	BETADIV	Yapsiei	Talanga sexpunctalis complex		1	0	0	1	COP	Yes	0	Ficus copiosa	25.02.2004	CAT											243498		
161825	BETADIV	Yapsiei	Talanga sexpunctalis complex		1	0	0	1	COP	Yes	0	Ficus copiosa	25.02.2004	CAT											243499		
161826	BETADIV	Yapsiei	Talanga sexpunctalis complex		1	0	0	1	COP	Yes	0	Ficus copiosa	20.02.2004	CAT											243500		
161827	BETADIV	Yapsiei	Talanga sexpunctalis complex		1	0	0	1	COP	Yes	0	Ficus copiosa	19.02.2004	CAT											243501		
161828	BETADIV	Yapsiei	Talanga sexpunctalis complex		1	0	0	1	COP	Yes	0	Ficus copiosa	17.02.2004	CAT											243502		
161829	BETADIV	Yapsiei	Talanga sexpunctalis complex		1	0	0	1	COP	Yes	0	Ficus copiosa	25.02.2004	CAT											243503		
161830	BETADIV	Yapsiei	Talanga sexpunctalis complex		1	0	0	1	COP	Yes	0	Ficus copiosa	25.02.2004	CAT											243504		
161831	BETADIV	Yapsiei	Talanga sexpunctalis complex		1	0	0	1	COP	Yes	0	Ficus copiosa	17.02.2004	CAT											243505		
161832	BETADIV	Yapsiei	Talanga sexpunctalis complex		1	0	0	1	COP	Yes	0	Ficus copiosa	25.02.2004	CAT											243506		
161833	BETADIV	Yapsiei	Talanga sexpunctalis complex		1	0	0	1	COP	Yes	0	Ficus copiosa	17.02.2004	CAT											243507		
161834	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	22.01.2004	CAT											243508		
161835	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	26.01.2004	CAT											243509		
161836	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	17.02.2004	CAT											243510		
161837	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	03.02.2004	CAT											243511		
161838	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	05.02.2004	CAT											243512		
161839	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	16.02.2004	CAT											243513		
161840	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	27.02.2004	CAT											243514		
161841	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	28.01.2004	CAT											243515		
161842	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	18.02.2004	CAT											243516		
161843	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	23.02.2004	CAT											243517		
161844	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	17.02.2004	CAT											243518		
161845	BETADIV	Yapsiei	Coelorhyncidia nitidalis		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	07.02.2004	CAT											243519		
161846	BETADIV	Yapsiei	Coelorhyncidia nitidalis		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	05.02.2004	CAT											243520		
161847	BETADIV	Yapsiei	Coelorhyncidia nitidalis		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	07.02.2004	CAT											243521		
161848	BETADIV	Yapsiei	Coelorhyncidia nitidalis		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	05.02.2004	CAT											243522		
161849	BETADIV	Yapsiei	Coelorhyncidia nitidalis		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	05.02.2004	CAT											243523		
